entity,product,price_hint,buyer_type,public_proof_url,outreach_vector,sachnetra_overlap
Tijori Finance,Fundamentals concalls and WhatsApp alerts,$43/year,Retail investors and Zerodha in-app users,https://techinasia.com/zerodha-tijori-finance-investment,Strategic API partnerships,High overlap on filings and timeline mapping
Heckyl Technologies,FIND dashboard sentiment analytics,Custom enterprise contracts,Large retail brokerages,https://yourstory.com/2012/12/fintech-startup-heckyl-raises-funds,Enterprise sales / terminal integrations,High overlap on news sentiment and tagging
Trendlyne,GuruQ Screener and B2B API feeds,₹2090/year (retail) or Custom B2B contracts,Individual swing traders and brokerages,https://financialexpress.com/market/trendlyne-launches-new-stock-screener/,Institutional sales calls,High overlap on news flows and analytics
TrueData,Low-latency real-time market tick API,₹1500/month (retail) or Custom enterprise,Algotraders and prop desks,https://truedata.in/pricing,Self-serve developer portal,Low (they sell ticks; we sell news/filing signals)
Global Datafeeds,Authorized live market pricing feeds,₹1200/month,Technical retail traders and charting developers,https://globaldatafeeds.in/,Direct web subscriptions,Low (charts/technical vs. alternative text data)
IndianAPI.in,Unified financial REST API (Fundamentals & Live),₹499/month,Indie developers and fintech startups,https://indianapi.in/,Indie hacker forums and developer marketing,Medium (overlap on raw company metadata API)
Screener.in,Premium fundamental screens and filing alerts,₹4999/year,Serious retail fundamental value investors,https://www.screener.in/premium/,Retail premium upgrades,Medium (overlap on corporate filing alerts)
Datarade,Alternative financial data marketplace,Custom listings,Quantitative fund data buyers,https://datarade.ai/,Data listing marketplaces,Low (they list providers; we act as a data asset)
Motilal Oswal Securities,Heckyl FIND news sentiment integration,Custom embedded contract,Large brokerage retail clients,https://www.businesstoday.in/magazine/features/story/heckyl-technologies-financial-analytics-131109-2013-11-21,Broker terminal integration,High overlap on sentiment scanning UI
Sharekhan,Heckyl sentiment indicators and alerts,Custom embedded contract,Brokerage traders,https://yourstory.com/2012/12/fintech-startup-heckyl-raises-funds,Broker terminal integration,High overlap on sentiment gauges
5Paisa,Trendlyne stock scores and checklists,Custom embedded API contract,Discount retail traders,https://financialexpress.com/market/trendlyne-launches-new-stock-screener/,Broker API integration,Medium overlap on fundamental news tags
Zerodha,Tijori fundamental timelines and alerts,US$5 million strategic investment,Largest retail discount brokerage audience,https://techinasia.com/zerodha-tijori-finance-investment,Strategic B2B data licensing,High overlap on filing alerts and timeline mapping
Apify Store,Screener.in web scraper actor,$15/month compute,Indie quants and research analysts,https://apify.com/store,Developer marketplace listings,Medium (automated unstructured data scraping)
StockEdge,Retail stock tracker filings and scanners,₹399/month,Active retail swing traders,https://stockedge.com/plans,Mobile App Store subscriptions,Medium overlap on sector scans and filings
Koyfin India,Professional financial charting and macro desk,$15/month (basic),Serious retail investors and wealth managers,https://koyfin.com/pricing/,SaaS developer marketing,Low (macro charts vs. text event database)
