product,tier,url,business_model,india_market_depth,entity_ticker_tagging,hindi_support,mobile_app,price_inr,primary_persona,pain_points_from_reviews,sachnetra_overlap,sachnetra_gap,confidence,source_url,as_of_date
"Google News (India Markets)","A","https://news.google.com","Free / traffic referral","low","partial","yes","yes","0","Passive investor / mass market retail","Not specialized for trading; lacks real-time Indian stock tickers; cluttered with political news","Aggregates top headlines for Indian market","G1 high-precision ticker tags; background PostgreSQL data streams; NSDL FPI flow charts","confirmed","https://news.google.com","2026-05-27"
"Dailyhunt","A","https://dailyhunt.in","Free / ad-supported","low","no","yes","yes","0","Mass market retail watcher / vernacular reader","Too many ads; push notification spam; clickbait titles; lacks stock data or tickers","Aggregates general financial news feeds","Strict ad-free focus; high-precision ticker tagging; corporate filings database; macro/flow trackers","confirmed","https://dailyhunt.in","2026-05-27"
"Inshorts","A","https://inshorts.com","Free / B2B native ads","low","no","yes","yes","0","Busy professional / casual observer","Too brief (60 words) for deep analysis; sponsored cards look like news; political bias","Aggregates news into a clean summary list","Full source links; precise ticker tagging; institutional flows tracker; filings DB","confirmed","https://inshorts.com","2026-05-27"
"ET Markets App","A","https://economictimes.indiatimes.com","Freemium / ET Prime sub","high","partial","yes","yes","2599/year","Serious fundamental investor / corporate executive","Intrusive pop-up ads for paid users; delayed notification loading; complex navigation; post-hoc rationalizations","Comprehensive market coverage and company-specific news","100% ad-free; zero-false-positive entity tagging; faster, structured filings alerts","confirmed","https://prime.economictimes.indiatimes.com","2026-05-27"
"Moneycontrol","A","https://moneycontrol.com","Freemium / MC Pro sub","high","partial","yes","yes","399/year","Active swing trader / retail investor","Loud video ads on free tier; app bloat and lag; paid subscription randomly drops; poor support","Direct overlap on news feeds and stock-linked articles","Lightweight ad-free UI; cleaner flow charts (FII/DII ratio); zero community spam or tips","confirmed","https://www.moneycontrol.com","2026-05-27"
"Trendlyne","A","https://trendlyne.com","Freemium / GuruQ sub","high","partial","no","yes","2090/year","Serious fundamental investor / swing trader","No free trials; charts load slowly on mobile; screener query syntax is hard to learn","Aggregated news feeds and basic stock screeners","Ad-free news focus; raw database API access; faster ingestion of corporate PDF filings","confirmed","https://trendlyne.com","2026-05-27"
"Finshots","A","https://finshots.in","Free / Ditto Insurance leads","medium","no","no","yes","0","Young retail explorer / long-term investor","Too simplified for active trading; only one article per day; lacks real-time market data or tickers","Ad-free simplified summaries; clean design","Real-time news aggregation; G1 ticker tagging; active filing database; flow metrics","confirmed","https://finshots.in","2026-05-27"
"Livemint","A","https://livemint.com","Freemium / Premium sub","high","partial","no","yes","1999/year","Serious investor / policy reader","Aggressive paywall; app glitches when loading; distracting sponsored content","Opinion pieces and macro-economic articles","Lightweight G1 tagged digest; raw background APIs; ad-free; direct filings integration","confirmed","https://livemint.com","2026-05-27"
"Business Standard","A","https://business-standard.com","Freemium / Premium sub","high","partial","yes","yes","2499/year","Corporate executive / fundamental investor","Dated UI; multi-device login issues; expensive subscription for retail users","Corporate filings reporting and macroeconomic data","Ad-free UI; precise automated entity tagging; direct links to PDF filings","confirmed","https://business-standard.com","2026-05-27"
"SachNetra","A","https://sachnetra.com","Free (exploratory / no ads)","medium","yes","partial","no","0","Serious investor / active swing trader","No discount broker integration; no real-time charts; no mobile app in Play Store","n/a","n/a","confirmed","https://sachnetra.com","2026-05-27"
