gap_id,category,gap_description,blocks_lijo_money_how,current_sachnetra_state,competitor_who_solves,fastest_fix_type,effort,revenue_path,priority_p0_p3,evidence_url,confidence
GAP-10-001,Trading edge,No paper-trading execution log/journal in UI or spreadsheet structure,Blocks Lijo from logging trades to prove edge of SachNetra signals,No trading log exists,None,Create a simple Google Sheets template for paper trading SachNetra signals,Low,Personal trading,priority_p0,n/a,confirmed
GAP-10-002,Trading edge,No user-facing "Alpha Signals" dashboard / feed,Blocks Lijo from quickly scanning what signals (sentiment spikes, material filings) fired today,Flat timeline of news; no dedicated signals tab,Tijori Finance Alerts / Heckyl FIND,Add a "Signals" tab in the SPA showing news with sentiment score > 0.5 or < -0.5 and NSE filings,Medium,Personal trading & B2B pilot,priority_p0,https://techinasia.com/zerodha-tijori-finance-investment,confirmed
GAP-10-003,Personal workflow,Lijo lacks direct PostgreSQL query capability / database client,Blocks Lijo from analyzing historical signals or pulling specific company feeds without writing code,Lijo has no PG access; James runs scripts,None,Connect a free tool like Metabase or a shared Google Sheet connected to PG,Low,Personal trading & B2B outreach,priority_p0,n/a,confirmed
GAP-10-004,Revenue (B2B),Unstable historical data schema - blocks selling frozen datasets,Blocks B2B buyers from trusting the historical consistency,Schema changes frequently; missing deep historical backfills,Heckyl / Trendlyne,Offer B2B pilot as "point-in-time sample + forward collection feed" under active schema versioning,Medium,B2B pilot,priority_p0,https://techinasia.com/zerodha-tijori-finance-investment,confirmed
GAP-10-005,Revenue (B2B),Missing boilerplate contract/agreement for B2B pilot partnerships,Blocks closing a paying customer within 4 weeks,No contract wording exists,Custom B2B NDAs,Draft a simple 2-page "Beta Data Partner Agreement" with data-only disclaimers (no advisory),Low,B2B pilot,priority_p0,n/a,confirmed
GAP-10-006,Revenue (B2B),No automated sample CSV export scripts for sales outreach,Blocks cold email/outreach because we cannot easily send a 7-day snippet to prospects,Must write custom manual SQL queries,Heckyl / Trendlyne,Create a script that outputs a clean CSV of the last 7 days of signals,Low,B2B pilot,priority_p0,n/a,confirmed
GAP-10-007,Revenue (B2B),Lack of standard schemas and documentation for public APIs,Blocks developer integration,No API endpoints exposed for B2B,TrueData / IndianAPI.in,Document the "india_news_signals" schema in a markdown file to send to prospective B2B buyers,Low,B2B pilot,priority_p0,https://indianapi.in/,confirmed
GAP-10-008,Legal/regulatory,No SEBI compliant disclaimer / legal protection on the platform,Blocks B2B pilot and consumer subscription due to risk of unregistered advisory penalties,No footer disclaimers,Standard disclosures on Trendlyne/Tijori,Add a prominent "Data-only / Non-advisory / No buy-sell recommendation" disclaimer to the footer and contract,Low,All paths,priority_p0,https://sebi.gov.in,confirmed
GAP-10-009,Personal workflow,No watchlist or portfolio tracking in SPA,Blocks Lijo from filtering signals specifically for companies he wants to watch,Shows all Nifty 50 news,Tijori / Trendlyne,Add a local-storage based watchlist in the client UI,Medium,Personal trading & Consumer Pro,priority_p1,n/a,confirmed
GAP-10-010,Personal workflow,No real-time push alerts on filings or sentiment spikes,Blocks Lijo from taking action during market hours,Must manually open the site,Tijori WhatsApp Alerts,Set up email alerts first; defer WhatsApp/Push to V2-008,High,Consumer Pro & Personal trading,priority_p2,https://zerodha.com/varsity/chapter/sebis-new-fo-rules/,confirmed
GAP-10-011,Personal workflow,No FII/DII daily flow trend visualization on UI,Blocks Lijo from seeing the macro liquidity regime at a glance,EOD data collected but UI has no historical flow chart,Trendlyne / TickerTape,Add a lightweight SVG bar chart of the last 10 days of FPI/DII net flows,Medium,Personal trading,priority_p1,n/a,confirmed
GAP-10-012,Trading edge,No clear rule-based trading signals defined - "What constitutes a trade?",Blocks Lijo from executing paper trades objectively,Raw sentiment and filing rows exist but no rules,Quant models,Define 3 explicit signal playbooks (e.g. Auditor Resignation, FII Absorption Ratio > 1.5, Sentiment Spike > 0.8),Low,Personal trading,priority_p0,n/a,confirmed
GAP-10-013,Trading edge,No walk-forward backtesting framework,Blocks proving if the signals actually work historically,Flat DB; no backtest script,Heckyl,Write a scratch script to check Nifty price movement at T+1 and T+5 after signals,Medium,Personal trading & B2B pilot,priority_p1,n/a,confirmed
GAP-10-014,Revenue (B2C),No ad-free premium tier or checkout path,Blocks B2C subscription income,Completely free; no authentication,Moneycontrol Pro / Trendlyne GuruQ,Stripe/Razorpay integration and auth,High,Consumer Pro,priority_p3,https://trendlyne.com,confirmed
GAP-10-015,Distribution,No sponsored newsletter/WhatsApp monetization setup,Blocks earning advertising/subscription revenue from retail,No collection of emails/phones (WhatsApp subscribed is planned under V2-008),Finshots,Build V2-008 subscriber table and lead capture,Medium,Newsletter / WhatsApp,priority_p2,n/a,confirmed
GAP-10-016,Revenue (B2B),No point-in-time sample dataset for immediate download,Blocks quick sales conversions because prospects must wait for manual data delivery,No downloads page,Kaggle / Gumroad data sellers,Host a 7-day CSV sample on a public path (e.g. sachnetra.com/samples/signals-sample.csv),Low,B2B pilot,priority_p0,https://gumroad.com,confirmed
GAP-10-017,Revenue (B2B),Missing outreach collateral showing data comparison vs. mainstream feeds,Blocks B2B interest because we cannot prove we have better sentiment/filing speed than standard RSS,No marketing document,Heckyl / Tijori,Draft a 1-page PDF showing Jaccard clustering deduplication rates and FinBERT accuracy compared to generic Google News,Low,B2B pilot,priority_p0,n/a,confirmed
GAP-10-018,Revenue (B2B),No API sandbox / Swagger documentation page,Blocks developer evaluation of endpoints,No documentation,TrueData API docs,Create a simple Swagger UI or static markdown doc under /docs/api,Medium,B2B pilot,priority_p1,https://truedata.in/,confirmed
GAP-10-019,Revenue (B2B),Lack of self-serve payment gateway for developer keys,Blocks frictionless B2B pilot scaling,Manual invoice only,Standard Stripe integrations,Rely on manual bank transfer / UPI for the first pilot; defer self-serve checkout,Medium,B2B pilot,priority_p3,n/a,confirmed
GAP-10-020,Data asset,No verification of sentiment accuracy vs. benchmark news feeds,Blocks institutional sales because sentiment quality is unmeasured,FinBERT fallback chain is live but error rate is unquantified,Accern,Conduct a manual audit of 100 random rows to score precision/recall,Medium,B2B pilot & personal trading,priority_p1,n/a,confirmed
GAP-10-021,Data asset,No corporate filings tagging precision metric,Blocks institutional sales,Filings are collected; but matching precision to tickers is unmeasured,Tijori,Audit 100 filings for ticker NER accuracy,Medium,B2B pilot & personal trading,priority_p1,n/a,confirmed
