theme,date,lang,quote_or_paraphrase,url,confidence,matches_r03,useful,maps_to_signal,notes
Nifty / BankNifty levels & expiry,2026-05-27,en,"Nifty testing 23,900. Support at 23,800. June 2 expiry PCR is 0.85, showing short interest at 24,000.",https://t.me/s/NiftyOptionTraders,anecdote,Y,Y,event_type: market_commentary,PCR matches R03 options positioning.
Nifty / BankNifty levels & expiry,2026-05-26,hinglish,"BankNifty resistance is 55,500. Avoid fresh longs until 55,600 breaks. Support at 54,300 is holding for now.",https://t.me/s/BankNiftyMaster,anecdote,Y,Y,event_type: market_commentary,Levels align with R03 Bank Nifty OI support/resistance.
Nifty / BankNifty levels & expiry,2026-05-27,hi,"Aaj expiry par VIX drop hua 7% (closed 14.98), premium decay bahut fast tha. Neutral PCR 0.85 indicates option sellers made money.",https://t.me/s/MarketPulseIndia,anecdote,Y,Y,event_type: market_commentary,VIX decline matches R03 data of 14.98 (-7.1%).
IT crash / AI disruption,2026-05-25,en,"Nifty IT index down -23.8% YTD. Infy and TCS under pressure due to client budgets shifting to AI and warnings of margin compression. Avoid IT sector.",https://t.me/s/SectorRotators,anecdote,Y,Y,tickers: TCS; INFY; WIPRO | sector: IT,IT YTD drop of 23.8% matches R03.
IT crash / AI disruption,2026-05-27,hinglish,"IT stocks are dead money now. TCS and WIPRO layoffs news spreading. AI tools doing code generation is causing serious panic.",https://t.me/s/TechStockForum,anecdote,Y,Y,tickers: TCS; WIPRO | sector: IT,Layoff rumors reflect IT sector slowdown.
IT crash / AI disruption,2026-05-26,hi,"IT stocks se exit karo, metal aur energy sector badh rahe hain. Infosys YTD crash solid proof hai AI change ka.",https://t.me/s/DesiTraderVoice,anecdote,Y,Y,tickers: INFY | sector: IT,Reflects structural shift from IT to cyclical stocks.
Metal / Energy / Defence rotation,2026-05-26,en,"Metals up 19% YTD, Energy up 17% YTD. Strong volume in Tata Steel and JSW Steel. PSUs like HAL and BEL are leading defense.",https://t.me/s/PSUStockHunters,anecdote,Y,Y,sector: metal; energy; defence,Metal (+19%) and Energy (+17%) match R03.
Metal / Energy / Defence rotation,2026-05-27,hinglish,"PSU defense stock HAL and BEL showing fresh breakouts. Government Capex growth target of 11.5% YoY (₹12.2 Lakh Cr) is driving these moves.",https://t.me/s/MultibaggerAlerts,anecdote,Y,Y,tickers: HAL; BEL | sector: defence,Capex target matches R03 budget allocation of 12.2L Cr.
Metal / Energy / Defence rotation,2026-05-25,hi,"Metal shares (Tata Steel) and Power companies (NTPC, PowerGrid) super strong. Retail traders rotation into PSU is at peak.",https://t.me/s/BharatTradingClub,anecdote,Y,Y,tickers: TATASTEEL; NTPC; POWERGRID | sector: metal; energy,Shows retail interest in cyclical rotation.
FII sell / DII buy,2026-05-27,en,"FPIs sold -₹1,029.89 crore in equity today. MTD outflow at -₹34,469 crore. But DIIs bought +₹1,361.40 crore to stabilize.",https://t.me/s/FiiDiiTracker,anecdote,Y,Y,event_type: flow_analytics,Daily flows match R03 provisional figures.
