claim,value,as_of_date,confidence,source_url
"Moneycontrol Pro subscription price","~₹399/year","2026-05-27","confirmed","https://www.moneycontrol.com"
"Economic Times Prime subscription cost","~₹2,599/year","2026-05-27","confirmed","https://prime.economictimes.indiatimes.com"
"Trendlyne GuruQ plan price","~₹2,090/year","2026-05-27","confirmed","https://trendlyne.com"
"TickerTape Pro subscription price","~₹2,399/year (or ₹299/month)","2026-05-27","confirmed","https://www.tickertape.in"
"Opstra PRO plan price","~₹1,300/month plus GST","2026-05-27","confirmed","https://opstra.definedge.com"
"Sensibull Pro plan price","~₹800/month (Free for Zerodha users)","2026-05-27","confirmed","https://sensibull.com"
"Koyfin Plus subscription price","$39/month (or $348/year on annual)","2026-05-27","confirmed","https://www.koyfin.com/pricing/"
"Koyfin Pro subscription price","$79/month (or $708/year on annual)","2026-05-27","confirmed","https://www.koyfin.com/pricing/"
"Bloomberg Terminal annual cost","~$28,000 to $32,000/year (approx. ₹25,00,000/year)","2026-05-27","confirmed","https://www.bloomberg.com"
"Livemint Premium subscription price","~₹1,999/year","2026-05-27","confirmed","https://www.livemint.com"
"Business Standard Premium subscription price","~₹2,499/year","2026-05-27","confirmed","https://www.business-standard.com"
"Streak subscription price","~₹690/month","2026-05-27","confirmed","https://streak.tech"
"smallcase flat buy transaction fee","₹100 flat per buy order","2026-05-27","confirmed","https://smallcase.com"
"FPI MTD equity outflow","-₹34,468.89 Cr","2026-05-27","confirmed","https://www.nsdl.co.in/fpi/reports.php"
"DII MTD cash buying flow","+₹63,445.19 Cr","2026-05-27","confirmed","https://www.kotakneo.com/market/institutional-activity"
"India VIX close","14.98","2026-05-27","confirmed","https://www.etnownews.com/markets/india-vix-plummets-7-as-nifty-holds-23900-support-article-110543210"
"Nifty 50 close","23,907.15","2026-05-27","confirmed","https://www.marketscreener.com/quote/index/NIFTY-50-6498115/"
"RBI Repo Rate","5.25%","2026-05-15","confirmed","https://www.rbi.org.in/"
"CPI Retail Inflation","3.48%","2026-04-30","confirmed","https://www.mospi.gov.in/"
"WPI Wholesale Inflation","8.30%","2026-04-30","confirmed","https://economictimes.indiatimes.com/news/economy/indicators/cpi-retail-inflation-april-2026/"
"USD/INR spot rate","95.61 to 95.83","2026-05-27","confirmed","https://tradingeconomics.com/india/currency"
"INR REER index","90.96","2026-04-30","confirmed","https://economictimes.indiatimes.com/news/economy/finance/rupee-undervalued-reer-drops-to-13-year-low/"
"Monthly SIP Flow","₹31,115.00 Cr","2026-04-30","confirmed","https://economictimes.indiatimes.com/mf/analysis/sip-inflow-crosses-rs-31000-crore-in-april/"
"Equity Mutual Fund Net Inflows","₹38,440.00 Cr","2026-04-30","confirmed","https://www.amfiindia.com/research-information/other-data"
